Date,BU_ID,Campaign_ID,Campaign_Name,Campaign_Flightdate_Start,Campaign_Flightdate_End,Account_Manager_ID,Campaign_Status,Advertiser_Source_ID,Advertiser_Source_Name,Campaign_Target_ID,Campaign_Target_Name,Campaign_Target_Flightdate_Start,Campaign_Target_Flightdate_End,Campaign_Target_Status,Trait_ID,Trait_Name,Integration_ID,Integration_Name,Currency_Code,Click_Based_Conversions,Impression_Based_Conversions
2017-01-26,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",210,OpenX,USD,1,6
2017-01-26,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",263,Pubmatic,USD,0,5
2017-01-26,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",271,AppNexus,USD,0,5
2017-01-24,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",316,Index Exchange Media,USD,1,10
2017-01-24,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",527,Lijit,USD,0,1
2017-01-25,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",160,Google ADX,USD,0,20
2017-01-25,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",210,OpenX,USD,0,2
2017-01-25,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",263,Pubmatic,USD,0,2
2017-01-25,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",298,Rubicon,USD,0,3
2017-01-23,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",527,Lijit,USD,0,1
2017-01-24,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",160,Google ADX,USD,0,26
2017-01-24,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",210,OpenX,USD,0,9
2017-01-24,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",263,Pubmatic,USD,0,5
2017-01-24,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",271,AppNexus,USD,0,4
2017-01-24,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001010,Remarketing_DCT_HV,2016-03-01 05:00:00,2017-02-01 04:59:59,INACTIVE,306455213,"Motel 6 Properties",298,Rubicon,USD,0,2
2017-01-23,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001011,Motel6_Remarketing_AE,2016-03-01 05:00:00,2017-01-01 04:59:59,ENDED,306392122,"RON Category",160,Google ADX,USD,0,1
2017-01-23,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001011,Motel6_Remarketing_AE,2016-03-01 05:00:00,2017-01-01 04:59:59,ENDED,306392122,"RON Category",263,Pubmatic,USD,0,1
2017-01-24,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001011,Motel6_Remarketing_AE,2016-03-01 05:00:00,2017-01-01 04:59:59,ENDED,306392122,"RON Category",160,Google ADX,USD,0,1
2017-01-27,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001011,Motel6_Remarketing_AE,2016-03-01 05:00:00,2017-01-01 04:59:59,ENDED,306392122,"RON Category",263,Pubmatic,USD,0,1
2017-01-30,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001011,Motel6_Remarketing_AE,2016-03-01 05:00:00,2017-01-01 04:59:59,ENDED,306392122,"RON Category",160,Google ADX,USD,0,1
2017-01-30,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001011,Motel6_Remarketing_AE,2016-03-01 05:00:00,2017-01-01 04:59:59,ENDED,306392122,"RON Category",263,Pubmatic,USD,0,2
2017-01-31,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001011,Motel6_Remarketing_AE,2016-03-01 05:00:00,2017-01-01 04:59:59,ENDED,306392122,"RON Category",160,Google ADX,USD,0,1
2017-01-23,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",160,Google ADX,USD,0,115
2017-01-23,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",210,OpenX,USD,0,27
2017-01-23,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",263,Pubmatic,USD,0,22
2017-01-23,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",298,Rubicon,USD,0,1
2017-01-23,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",300,AppNexus (MSFT),USD,0,11
2017-01-23,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",316,Index Exchange Media,USD,0,42
2017-01-29,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",527,Lijit,USD,0,12
2017-01-29,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",588,AdTech Marketplace RTB,USD,0,11
2017-01-31,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",160,Google ADX,USD,0,1
2017-01-29,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",160,Google ADX,USD,0,110
2017-01-29,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",210,OpenX,USD,0,14
2017-01-29,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",263,Pubmatic,USD,0,29
2017-01-29,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",298,Rubicon,USD,0,2
2017-01-29,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",300,AppNexus (MSFT),USD,1,19
2017-01-29,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",316,Index Exchange Media,USD,0,24
2017-01-28,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",263,Pubmatic,USD,0,39
2017-01-28,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",298,Rubicon,USD,0,1
2017-01-28,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",300,AppNexus (MSFT),USD,0,20
2017-01-28,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",316,Index Exchange Media,USD,0,47
2017-01-28,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",527,Lijit,USD,0,8
2017-01-28,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",588,AdTech Marketplace RTB,USD,0,13
2017-01-27,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",300,AppNexus (MSFT),USD,1,1
2017-01-27,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",316,Index Exchange Media,USD,0,16
2017-01-27,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",527,Lijit,USD,0,7
2017-01-27,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",588,AdTech Marketplace RTB,USD,0,14
2017-01-28,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",160,Google ADX,USD,2,131
2017-01-28,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",210,OpenX,USD,0,31
2017-01-26,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",527,Lijit,USD,1,7
2017-01-26,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",588,AdTech Marketplace RTB,USD,0,9
2017-01-27,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",160,Google ADX,USD,0,62
2017-01-27,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",210,OpenX,USD,0,22
2017-01-27,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",263,Pubmatic,USD,0,19
2017-01-27,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",298,Rubicon,USD,0,2
2017-01-26,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",160,Google ADX,USD,0,106
2017-01-26,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",210,OpenX,USD,0,16
2017-01-26,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",263,Pubmatic,USD,0,14
2017-01-26,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",298,Rubicon,USD,0,4
2017-01-26,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",300,AppNexus (MSFT),USD,0,3
2017-01-26,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",316,Index Exchange Media,USD,0,27
2017-01-25,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",263,Pubmatic,USD,0,7
2017-01-25,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",298,Rubicon,USD,0,5
2017-01-25,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",300,AppNexus (MSFT),USD,0,2
2017-01-25,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",316,Index Exchange Media,USD,0,24
2017-01-25,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",527,Lijit,USD,0,6
2017-01-25,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",588,AdTech Marketplace RTB,USD,0,5
2017-01-24,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",300,AppNexus (MSFT),USD,0,8
2017-01-24,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",316,Index Exchange Media,USD,0,29
2017-01-24,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",527,Lijit,USD,0,7
2017-01-24,106007,1001003,Motel 6_LiveTest _March2016,2016-03-01 05:00:00,2017-02-01 04:59:59,9704,ACTIVE,4,IONE US,1001059,Motel6_RMK_Converters,2016-04-01 05:00:00,2017-01-01 04:59:59,ENDED,306463879,"Generic Conversion (with variables)",588,AdTech Marketplace RTB,USD,0,9
